id,average_intensity
1,16.955374
2,17.998793
3,17.322414
4,15.969124
5,15.282433
6,16.716349
7,18.48357
8,16.147945
9,17.532864
10,17.575178
11,12.737688
12,16.562187
13,17.450449
14,16.823162
15,17.5146
16,16.971745
17,19.167593
18,16.050566
19,17.420805
20,16.881021
21,18.243725
22,19.567871
23,16.554361
24,17.166378
25,17.47391
26,17.09911
27,16.395788
28,16.773045
29,13.567906
30,12.443402
31,16.079731
32,13.371762
33,15.686542
34,19.22178
35,13.244082
36,16.476446
37,13.849225
38,19.446276
39,12.731313
40,15.444585
41,17.777992
42,17.537384
43,16.538975
44,13.301859
45,16.561321
46,16.951782
47,15.360517
48,14.821447
49,18.303097
50,15.471309
51,18.5818
52,13.012619
53,13.339671
54,16.95528
55,11.724857
56,19.639448
57,14.897886
58,12.776182
59,12.972136
60,13.101294
61,16.609943
62,18.274166
63,20.261791
64,17.575489
65,18.122059
66,17.55879
67,12.834936
68,12.538743
69,17.487358
70,16.06446
71,19.480042
72,17.555927
73,23.090824
74,17.593992
75,16.221214
76,13.4515915
77,17.51094
78,17.721111
79,17.822271
80,18.916561
81,16.568485
82,13.415598
83,16.541252
84,13.388266
85,15.135843
86,13.49411
87,15.510722
88,18.572323
89,14.564278
90,15.5010805
91,18.395794
92,18.472132
93,16.842613
94,13.68434
95,14.752604
96,17.256447
97,17.14761
98,16.504152
99,17.801008
100,12.461768
101,17.373772
102,16.260046
103,13.334338
104,15.999494
105,11.808031
106,14.165777
107,13.59189
108,12.907869
109,13.643991
110,13.644475
111,17.627186
112,12.886232
113,16.922323
114,16.537817
115,17.267414
116,15.859911
117,14.44062
118,16.147411
119,15.219873
120,11.995268
121,16.859234
122,15.676893
123,17.124619
124,17.458654
125,18.516409
126,14.078995
127,15.325337
128,15.9132595
129,14.916655
130,13.80421
131,16.87004
132,16.71853
133,17.214697
134,15.85981
135,17.186533
136,12.40587
137,17.585684
138,16.571886
139,20.107151
140,17.103344
141,18.36213
142,19.257082
143,18.031225
144,19.11475
145,18.35292
146,14.078504
147,17.288837
148,17.60983
149,18.159025
150,17.13464
151,16.93688
152,15.370166
153,14.454058
154,18.062357
155,15.521565
156,11.788582
157,15.752474
158,12.796334
159,13.039945
160,14.093921
161,23.663502
162,16.611784
163,15.17868
164,17.468853
165,17.077946
166,20.3521
167,16.159784
168,11.617806
169,16.791458
170,12.686408
171,16.68193
172,15.177417
173,16.180428
174,17.5814
175,18.184805
176,13.324206
177,17.55206
178,16.30181
179,14.685544
180,15.627759
181,11.925356
182,12.166526
183,12.820712
184,16.49859
185,18.428242
186,13.040181
187,18.041315
188,15.485605
189,17.292084
190,20.16387
191,13.187396
192,13.582911
193,20.169378
194,19.692966
195,16.656803
196,14.678212
197,16.385914
198,13.874685
199,16.500128
200,12.991099
201,18.24671
202,19.221544
203,16.458054
204,12.815875
205,16.991833
206,11.974647
207,17.997078
208,17.30515
209,15.086813
210,13.387915
211,13.345431
212,17.247377
213,12.551383
214,14.660797
215,19.09653
216,16.43951
217,12.893209
218,16.476368
219,17.255568
220,19.312376
221,16.198784
222,14.169487
223,17.21813
224,17.909386
225,18.828127
226,15.580821
227,17.446453
228,18.815838
229,19.568483
230,18.748354
231,19.435135
232,14.161738
233,18.336672
234,18.101223
235,17.825815
236,18.938309
237,18.249252
238,16.214998
239,13.066302
240,12.327384
241,11.292441
242,16.004559
243,18.22879
244,16.148146
245,14.003545
246,15.211504
247,16.616297
248,13.103544
249,13.096258
250,12.302389
251,12.992633
252,17.423397
253,17.40341
254,15.741209
255,17.233011
256,12.739088
257,14.576634
258,11.474015
259,16.40071
260,17.912434
261,16.862362
262,17.768787
263,14.752031
264,17.452394
265,16.624256
266,13.044104
267,16.631607
268,15.553007
269,18.672577
270,12.791872
271,16.814177
272,13.789533
273,12.250231
274,15.419398
275,17.717665
276,16.641546
277,18.641539
278,19.322102
279,11.832631
280,13.563428
281,14.286463
