id,protein1,protein2,protein3,protein4,protein5,protein6,protein7,protein8,protein9,protein10,protein11,protein12,protein13,protein14,protein15,protein16,protein17,protein18,protein19,protein20,protein21,protein22,protein23,protein24,protein25,protein26,protein27,protein28,protein29,protein30,protein31,protein32,protein33,protein34,protein35,protein36,protein37,protein38,protein39,protein40,protein41,protein42,protein43,protein44,protein45,protein46,protein47,protein48,protein49,protein50,protein51,protein52
1,139.96774,137.77298,140.53586,139.34286,139.06802,139.07095,139.45853,137.81177,140.55052,139.07726,140.49782,139.23451,138.79276,138.52254,140.13585,138.61093,139.71396,139.90903,137.8,140.62129,138.51501,139.25708,140.61829,138.21646,139.46777,140.32108,139.66165,139.35942,137.90974,139.62494,138.77719,138.50409,139.51517,138.39735,138.72037,139.49698,139.48817,140.39952,140.28131,140.24504,139.01117,138.76544,138.83336,140.53076,139.72398,140.3881,139.68407,139.10355,139.31403,138.80313,140.97942,139.58728
2,136.28375,136.4107,136.83209,136.5292,136.60434,135.88419,136.17973,135.21841,135.62613,136.57654,136.24474,136.11688,136.15187,135.54916,136.88867,136.40648,136.82886,135.844,135.23181,136.95317,136.03423,136.43083,136.53448,136.2517,136.67625,136.80907,137.088,137.07213,137.12044,137.05049,136.83458,136.27855,135.70245,137.9793,136.301,137.34462,135.84367,135.92659,135.26251,137.12892,137.22289,136.1406,136.1385,137.13194,135.91696,136.86378,137.38484,137.25116,136.37256,136.8238,135.08096,136.50072
3,134.2033,132.40094,134.31471,134.75842,133.85207,133.67673,133.30998,133.8557,134.2056,132.30382,134.77414,133.75235,133.6401,134.26837,133.68944,132.73982,133.34875,132.95958,133.57306,133.39284,133.3157,134.23367,134.5674,134.05943,134.00926,134.0212,133.75615,134.5323,134.5224,132.77963,133.68411,134.79723,133.29811,133.31569,133.87724,134.46037,133.78137,134.49994,133.35326,134.30556,134.21423,133.77643,134.10916,133.46523,133.70776,134.0742,133.80452,133.97467,133.32979,133.26398,134.24748,133.67583
4,141.81781,143.7465,143.66197,142.31831,142.61298,143.0691,142.47305,142.49738,142.83577,141.99278,141.8576,142.5655,141.8943,142.51935,143.33818,142.96483,142.8323,143.20706,143.85828,143.13527,143.2207,141.78223,142.68646,142.99652,144.12575,141.88388,143.6619,142.35155,142.69612,141.50078,144.26169,142.63425,142.34166,143.42859,142.2582,144.06177,143.06096,142.82402,142.89423,142.29285,142.07497,142.66412,142.4087,142.42052,142.92429,143.72885,141.87215,141.80382,141.97372,142.18784,143.06097,142.28392
5,107.12235,103.66729,105.40554,104.04571,104.074104,104.17377,104.340065,103.759544,105.16252,104.61142,104.9852,105.458084,104.54127,104.57926,103.7344,104.86319,103.67927,105.34324,105.41773,104.510086,104.32704,104.00853,103.90771,104.28864,103.393936,103.80374,104.34429,104.73919,103.804665,103.736374,103.7009,104.525856,105.01547,104.99681,104.64079,105.96633,105.87113,105.0361,104.93131,104.43913,104.74272,105.06794,104.91512,104.097534,103.85259,104.16836,104.34119,105.193375,104.26223,104.46425,104.31014,104.80655
6,138.79646,137.90875,138.40492,137.6625,137.72241,138.24178,137.99902,137.96594,138.68954,137.69566,138.45274,138.68762,138.13046,138.15813,137.44778,138.00113,138.42943,138.43771,138.69696,137.83531,137.49106,139.21298,136.40022,137.30019,137.5593,138.09238,137.97041,139.64621,137.82228,139.11761,137.74008,138.41946,137.61533,138.70377,137.51176,137.82156,137.54456,137.90279,138.3867,137.85957,139.2383,138.74174,137.76341,138.36958,138.45204,138.85988,137.66496,138.81606,138.28957,139.37404,138.15643,137.63988
7,135.7278,136.10577,136.41068,135.52597,134.80011,136.20934,134.75427,135.46492,135.2816,135.40858,135.391,134.8655,136.33434,136.08522,135.01575,135.51799,136.04306,136.12112,135.27066,135.67928,134.7611,134.45226,135.25166,135.37407,135.6967,135.25084,135.92885,134.98561,136.42392,135.82198,136.56657,136.62048,135.0147,135.92854,136.52625,136.34074,135.06117,133.98999,135.05673,135.37154,135.46104,136.29292,135.50383,134.5904,135.98846,135.25577,135.63344,135.12994,135.38158,136.39204,135.76256,135.70871
8,132.86678,132.1065,133.52722,133.08914,132.92885,132.94377,134.13211,133.38513,133.8782,132.80832,133.59024,134.95409,133.11612,134.40388,133.66006,133.7094,133.86005,132.72878,133.65332,133.00262,134.88907,133.18265,133.88864,131.1888,133.82152,134.27214,133.30952,132.74591,134.66037,132.45964,133.43091,132.7756,133.19633,133.96126,134.13782,133.30463,132.40872,133.20718,133.88289,134.07266,135.148,132.58037,133.7728,133.16971,132.6194,132.37044,132.60228,133.5184,132.94579,133.89928,132.64297,133.6453
9,134.21532,133.56389,135.1366,135.54564,135.10715,134.14493,135.97241,134.79906,134.68922,135.05005,135.7464,134.34451,134.83708,133.50609,134.66779,135.46194,134.83313,135.03659,134.16777,135.94603,134.90144,135.20236,134.39973,135.08438,135.41057,135.58461,134.44803,135.59196,134.85266,135.63853,135.24535,134.3855,134.78297,134.6622,134.29272,134.60828,135.02252,134.48325,134.7174,135.63507,136.3605,135.34012,134.04398,134.64024,135.21652,134.97034,135.53207,135.14389,134.28146,134.89452,134.66727,134.18253
10,128.28455,128.30069,129.22697,128.794,128.15483,128.37021,129.14363,128.78223,128.03685,127.70846,130.2919,128.86559,127.354065,128.88438,128.67598,128.82133,129.07571,128.82684,128.14467,129.24374,127.78581,128.30579,128.80472,129.34741,129.53752,129.24367,129.33713,128.64622,128.35426,128.45294,129.30933,127.948715,127.83098,128.35637,128.0062,127.937584,128.98317,128.85744,128.27966,129.4346,128.18379,128.41475,130.24258,129.31403,127.81963,128.54266,128.75826,128.0553,128.75061,128.19717,128.28792,128.83339
