Epochs,Batch Size,Training Error,Testing Error
10,32,4232.759779250642,4349.33934922499
20,32,2307.657682717713,2522.8991807757
30,32,2095.3563155126885,2451.289347982739
40,32,1897.3074770417588,2408.4010340884515
50,32,1724.6523641659944,2387.883855909274
60,32,1585.4020432986422,2413.8156767545734
70,32,1425.969507545196,2450.0327423672265
80,32,1295.5539821894024,2500.2727956090193
90,32,1206.457775970593,2606.921913789374
10,64,8388.116716179895,8396.11630117138
20,64,3413.118853754503,3663.2009105070683
30,64,2391.9500571703134,2597.8574857724757
40,64,2241.726428505859,2500.1463196512072
50,64,2122.315014030375,2489.2239338993504
60,64,1979.8555419787492,2439.5144854020373
70,64,1786.6523420939352,2408.2655047989415
80,64,1688.1095707230293,2392.3999604559513
90,64,1627.8774357809384,2412.1078222839797
10,128,8656.532683867077,8659.28467566765
20,128,7369.412890418573,7415.074422085354
30,128,4770.316651432657,4919.724115316407
40,128,2440.780031162656,2638.171753667647
50,128,2371.8923077339177,2583.4528549621914
60,128,2209.11307849545,2532.662854986095
70,128,2166.3695437678343,2501.225494753052
80,128,2021.9159404013838,2483.388234212629
90,128,1978.4177304105683,2444.1363512112493
10,256,8843.391854838137,8844.680554059367
20,256,8607.38939965716,8613.130676821513
30,256,8220.082403447313,8235.171518265235
40,256,7324.322944856336,7340.190778322077
50,256,5730.26940991265,5791.247956933858
60,256,3428.5946406076678,3696.4104499707855
70,256,2500.0591283181298,2680.3265430304186
80,256,2430.9375536815182,2644.9784006226632
90,256,2294.645549793021,2578.800850688463
