id,avg_intensity_of_top_tiles
1,24.738913
2,29.669165
3,27.391632
4,21.556341
5,38.744957
6,59.161755
7,79.70839
8,22.172077
9,51.631268
10,29.032654
11,35.47893
12,32.227917
13,83.38057
14,24.002975
15,32.74102
16,33.790234
17,28.74853
18,32.16571
19,25.626057
20,28.368082
21,113.18678
22,68.30766
23,29.661932
24,46.07605
25,25.318096
26,24.293802
27,22.295963
28,51.682655
29,29.779638
30,21.328178
31,24.69644
32,23.99171
33,30.963108
34,34.009327
35,46.43831
36,46.110573
37,53.85491
38,62.60891
39,34.715794
40,24.09443
41,26.581696
42,25.915854
43,34.909615
44,29.399103
45,25.27542
46,27.3485
47,25.17784
48,27.64477
49,72.37583
50,37.377983
51,128.779
52,26.720337
53,23.80688
54,29.745502
55,31.82897
56,148.8791
57,38.547928
58,30.217123
59,21.129105
60,23.617722
61,39.141476
62,68.477425
63,107.409645
64,89.854065
65,27.525467
66,58.72408
67,35.60567
68,24.858776
69,58.58714
70,28.482304
71,38.91851
72,25.20833
73,39.698677
74,35.275497
75,25.77889
76,21.231321
77,24.680933
78,39.242508
79,42.26486
80,43.026688
81,21.535007
82,30.158228
83,25.781834
84,23.765663
85,80.30137
86,41.083363
87,63.419476
88,87.08429
89,27.420862
90,22.670584
91,30.971222
92,64.43674
93,51.314323
94,20.943354
95,46.863033
96,28.366892
97,36.714783
98,27.701996
99,35.615723
100,24.776764
101,26.267574
102,33.91982
103,21.589918
104,22.841808
105,17.986578
106,22.489445
107,24.839193
108,23.603537
109,21.53461
110,30.192059
111,37.462856
112,26.093603
113,27.357107
114,22.17445
115,34.250725
116,27.970154
117,30.832607
118,21.615957
119,77.71336
120,31.514807
121,30.586773
122,25.956457
123,23.34119
124,28.014734
125,35.53553
126,25.86351
127,56.01583
128,30.133127
129,21.555046
130,21.383907
131,65.54514
132,27.758442
133,27.767126
134,35.969498
135,29.941736
136,22.429483
137,37.817554
138,30.759354
139,34.942177
140,26.277328
141,36.775585
142,57.2156
143,27.332941
144,46.983738
145,44.27731
146,29.543987
147,51.947815
148,31.821774
149,43.896965
150,29.522644
151,54.96676
152,20.986591
153,36.38316
154,43.229824
155,23.810835
156,18.646832
157,47.602577
158,27.095013
159,20.68893
160,42.47987
161,79.37882
162,23.214727
163,23.284246
164,43.38334
165,42.780136
166,43.108
167,40.707924
168,17.492138
169,42.627316
170,19.325117
171,23.19138
172,23.514353
173,48.531963
174,35.788563
175,29.130941
176,28.806814
177,155.34702
178,25.933832
179,28.363205
180,44.76625
181,29.698364
182,17.594004
183,32.333
184,24.316576
185,43.155834
186,38.270653
187,50.364067
188,30.315594
189,32.656067
190,92.90043
191,21.442076
192,47.157116
193,95.05173
194,51.416847
195,24.178814
196,25.48692
197,24.344868
198,33.63692
199,25.502083
200,46.933765
201,26.315125
202,94.002525
203,27.08254
204,35.65318
205,24.597004
206,35.70548
207,55.777916
208,35.425484
209,19.514706
210,21.10427
211,19.675112
212,32.88876
213,17.427443
214,27.214544
215,34.309044
216,33.0131
217,43.387108
218,25.758633
219,58.0901
220,61.559265
221,64.66243
222,24.245495
223,48.59208
224,25.688787
225,39.369835
226,21.88352
227,32.95535
228,78.99498
229,43.33623
230,91.89577
231,27.292587
232,34.11393
233,74.05621
234,31.275091
235,27.822659
236,39.54439
237,29.275839
238,25.59689
239,35.805264
240,31.03036
241,19.276121
242,24.643213
243,40.70312
244,21.670835
245,68.030106
246,21.649002
247,47.081085
248,22.307232
249,78.07383
250,22.526411
251,20.445736
252,31.404774
253,29.884542
254,25.794422
255,70.836044
256,21.07542
257,18.304142
258,18.852493
259,30.169058
260,23.217657
261,40.66464
262,43.031948
263,28.916758
264,27.367807
265,23.689154
266,20.624035
267,31.260372
268,48.19179
269,32.617912
270,24.004925
271,26.638071
272,46.879932
273,18.24683
274,23.191975
275,42.736454
276,27.931992
277,28.995525
278,33.28324
279,28.569584
280,49.32148
281,24.063366
